Species,AM.AD.1,AM.AD.2,AM.F10.T1,AM.F10.T2,DA.AD.1,DA.AD.1T,DA.AD.2,DA.AD.3,DA.AD.3T,DA.AD.4,ES.AD.1,ES.AD.2,ES.AD.3,ES.AD.4,FR.AD.1,FR.AD.2,FR.AD.3,FR.AD.4,FR.AD.5,FR.AD.6,FR.AD.7,FR.AD.8,IT.AD.1,IT.AD.2,IT.AD.3,IT.AD.4,IT.AD.5,IT.AD.6,JP.AD.1,JP.AD.2,JP.AD.3,JP.AD.4,JP.AD.5,JP.AD.6,JP.AD.7,JP.AD.8,JP.AD.9,JP.IN.1,JP.IN.2,JP.IN.3,JP.IN.4,MH0001,MH0002,MH0003,MH0004,MH0005,MH0006,MH0007,MH0008,MH0009,MH0010,MH0011,MH0012,MH0013,MH0014,MH0015,MH0016,MH0017,MH0018,MH0019,MH0020,MH0021,MH0022,MH0023,MH0024,MH0025,MH0026,MH0027,MH0028,MH0030,MH0031,MH0032,MH0033,MH0034,MH0035,MH0036,MH0037,MH0038,MH0039,MH0040,MH0041,MH0042,MH0043,MH0044,MH0045,MH0046,MH0047,MH0048,MH0049,MH0050,MH0051,MH0052,MH0053,MH0054,MH0055,MH0056,MH0057,MH0058,MH0059,MH0060,MH0061,MH0062,MH0063,MH0064,MH0065,MH0066,MH0067,MH0068,MH0069,MH0070,MH0071,MH0072,MH0073,MH0074,MH0075,MH0076,MH0077,MH0078,MH0079,MH0080,MH0081,MH0082,MH0083,MH0084,MH0085,MH0086,TS1_V2,TS10_V2,TS100_V2,TS101.2_V2,TS103_V2,TS104_V2,TS105_V2,TS106_V2,TS107_V2,TS109_V2,TS11_V2,TS110_V2,TS111_V2,TS115_V2,TS116_V2,TS117_V2,TS118_V2,TS119_V2,TS12_V2,TS120_V2,TS124_V2,TS125_V2,TS126_V2,TS127_V2,TS128_V2,TS129_V2,TS13_V2,TS130_V2,TS131_V2,TS132_V2,TS133_V2,TS134_V2,TS135_V2,TS136_V2,TS137_V2,TS138_V2,TS139_V2,TS14_V2,TS140_V2,TS141_V2,TS142_V2,TS143_V2,TS144_V2,TS145_V2,TS146_V2,TS147_V2,TS148_V2,TS149_V2,TS15_V2,TS150_V2,TS151_V2,TS152_V2,TS153_V2,TS154.2_V2,TS155_V2,TS156_V2,TS16_V2,TS160_V2,TS161_V2,TS162_V2,TS163_V2,TS164_V2,TS165_V2,TS166_V2,TS167_V2,TS168_V2,TS169_V2,TS17_V2,TS170_V2,TS178_V2,TS179_V2,TS180_V2,TS181_V2,TS182_V2,TS183_V2,TS184_V2,TS185_V2,TS186_V2,TS19_V2,TS190_V2,TS191_V2,TS192_V2,TS193_V2,TS194_V2,TS195_V2,TS2_V2,TS20_V2,TS21_V2,TS22_V2,TS23_V2,TS25_V2,TS26_V2,TS27_V2,TS28_V2,TS29_V2,TS3_V2,TS30_V2,TS31_V2,TS32_V2,TS33_V2,TS34_V2,TS35_V2,TS37_V2,TS38_V2,TS39_V2,TS4_V2,TS43_V2,TS44_V2,TS49_V2,TS5_V2,TS50_V2,TS51_V2,TS55_V2,TS56_V2,TS57_V2,TS6_V2,TS61_V2,TS62_V2,TS63_V2,TS64_V2,TS65_V2,TS66_V2,TS67_V2,TS68_V2,TS69_V2,TS7_V2,TS70_V2,TS71_V2,TS72_V2,TS73_V2,TS74_V2,TS75_V2,TS76_V2,TS77_V2,TS78_V2,TS8_V2,TS82_V2,TS83_V2,TS84_V2,TS85_V2,TS86_V2,TS87_V2,TS88_V2,TS89_V2,TS9_V2,TS90_V2,TS91_V2,TS92_V2,TS94_V2,TS95_V2,TS96_V2,TS97_V2,TS98_V2,TS99.2_V2
Actinobacillus,0,0,0,0,7.525e-5,6.3e-7,0,0,0,0,0,0,0,1.274e-5,0,2.531e-5,0,0,0,0,0,0,0,0,0,3.893e-5,4.894e-5,0,0,3.442e-5,0,0,0,0,0,0,0,0,0,0,0,1.2969e-4,1.12e-5,2.662e-5,5.468e-5,4.873e-5,3.31e-5,5.484e-5,2.9744e-4,3.147e-5,4.127e-5,1.769e-5,2.149e-5,4.957e-5,1.754e-5,6.485e-5,1.917e-5,7.824e-5,2.532e-5,5.58e-5,1.72e-5,1.764e-5,7.847e-5,6.086e-5,1.743e-5,2.137e-5,2.233e-5,5.856e-5,1.837e-5,4.491e-5,3.375e-5,1.258e-5,5.659e-5,1.103e-5,6.33e-5,2.876e-5,3.466e-5,6.41e-5,2.116e-5,2.247e-5,1.625e-5,3.843e-5,5.217e-5,1.49e-5,2.012e-5,2.064e-5,1.498e-5,2.738e-5,1.107e-5,2.417e-5,1.963e-5,1.42e-5,4.096e-5,2.411e-5,4.857e-5,2.254e-5,1.9640000000000002e-05,2.135e-5,1.938e-5,1.881e-5,1.223e-4,1.861e-5,1.398e-5,1.378e-5,2.179e-5,2.142e-5,1.173e-5,1.614e-5,1.477e-5,2.474e-5,1.699e-5,5.2778e-4,4.7866e-4,2.159e-5,1.789e-5,1.977e-5,1.759e-5,5.66e-5,1.404e-5,1.915e-5,1.9640000000000002e-05,1.935e-5,2.09e-5,8.77e-6,2.02e-5,9.172e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aggregatibacter,0,0,0,0,0,0,0,0,2.582e-5,1.849e-5,0,1.259e-5,0,0,0,2.453e-5,2.711e-5,1.6847e-4,0,0,0,0,0,0,0,4.898e-5,0,9.418e-5,0,0,0,3.909e-5,0,0,0,0,0,0,0,0,0,2.8906e-4,6.75e-6,5.169e-5,5.613e-5,6.699e-5,2.161e-5,3.244e-5,5.9502e-4,6.501e-5,5.09e-5,1.489e-5,3.736e-5,3.269e-5,1.341e-5,8.767e-5,1.217e-5,9.296e-5,2.06e-5,4.55e-5,1.004e-5,1.621e-5,5.135e-5,4.322e-5,1.733e-5,1.65e-5,1.448e-5,7.133e-5,1.242e-5,4.278e-5,6.306e-5,8.49e-6,1.1881e-4,9.52e-6,1.4077e-4,1.82e-5,3.55e-5,1.2086e-4,1.872e-5,2.238e-5,3.135e-5,8.668e-5,1.3215e-4,1.031e-5,1.098e-5,1.503e-5,1.729e-5,1.626e-5,1.089e-5,2.436e-5,1.824e-5,2.429e-5,3.249e-5,2.815e-5,1.5433e-4,1.681e-5,1.496e-5,1.856e-5,2.118e-5,1.622e-5,3.7866e-4,1.183e-5,9.75e-6,1.598e-5,1.802e-5,2.345e-5,9.36e-6,1.287e-5,1.019e-5,4.328e-5,1.675e-5,0.00144757,0.00147758,1.584e-5,1.805e-5,3.299e-5,1.948e-5,1.8874e-4,1.956e-5,1.355e-5,1.782e-5,1.619e-5,1.718e-5,6.78e-6,2.319e-5,2.4597e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1222e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haemophilus,0,0,0,0,0,1.151e-5,0,0,5.362e-5,5.291e-5,8.9e-6,7.842e-5,0,0,0,1.848e-4,3.275e-5,4.059e-4,0,5.743e-5,0,0,1.02e-5,3.839e-5,0,5.0136e-4,2.862e-5,4.0344e-4,0,0,4.55e-5,4.855e-5,9.169e-5,5.508e-5,0,0,0,0,0,0,0,7.8248e-4,1.136e-5,1.5269e-4,1.3073e-4,1.7926e-4,3.231e-5,5.263e-5,0.00145216,1.7389e-4,1.4583e-4,2.31e-5,7.907e-5,8.134e-5,2.431e-5,1.7806e-4,2.235e-5,2.6405e-4,3.711e-5,1.0037e-4,1.569e-5,3.509e-5,9.224e-5,7.702e-5,3.419e-5,2.41e-5,2.888e-5,1.6452e-4,2.879e-5,1.0838e-4,1.7928e-4,2.44e-5,3.3869e-4,1.448e-5,3.6822e-4,2.386e-5,7.489e-5,3.3414e-4,3.154e-5,6.652e-5,8.532e-5,1.8526e-4,3.1906e-4,1.8e-5,2.133e-5,1.899e-5,2.139e-5,3.112e-5,2.647e-5,4.118e-5,2.658e-5,6.565e-5,8.187e-5,7.217e-5,3.4689e-4,2.699e-5,1.54e-5,2.775e-5,3.914e-5,2.696e-5,0.00115859,1.511e-5,1.831e-5,3.752e-5,3.109e-5,3.496e-5,1.545e-5,2.214e-5,1.735e-5,1.0481e-4,1.803e-5,0.00485415,0.00447125,2.285e-5,4.149e-5,8.721e-5,4.551e-5,6.3839e-4,4.439e-5,3.88e-5,4.913e-5,3.092e-5,2.218e-5,1.458e-5,4.963e-5,7.6747e-4,0,0.00112985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4983e-4,0,0,0,0,0,2.6274e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012318,0,0,4.0457e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.164e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3066e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5456e-4,0,0,0,0,0
Histophilus,0,0,0,0,0,0,0,1.418e-5,3.31e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4e-5,4.8e-6,1.044e-5,2.859e-5,2.756e-5,1.205e-5,3.03e-5,1.2888e-4,1.86e-5,2.351e-5,7.52e-6,1.116e-5,3.612e-5,5.58e-6,2.942e-5,3.414e-5,3.96e-5,1.34e-5,3.15e-5,9.27e-6,9.1e-6,3.342e-5,3.495e-5,7.99e-6,1.085e-5,1.081e-5,2.68e-5,9.43e-6,2.324e-5,2.212e-5,7.77e-6,2.708e-5,6.69e-6,3.048e-5,3.617e-5,1.538e-5,3.401e-5,1.017e-5,1.228e-5,6.01e-6,2.666e-5,2.617e-5,6.86e-6,8.06e-6,9.65e-6,6.02e-6,2.256e-5,4.44e-6,8.22e-6,9.76e-6,7.65e-6,1.732e-5,1.254e-5,2.585e-5,1.006e-5,7.42e-6,9.92e-6,8.09e-6,9.31e-6,7.346e-5,7.1e-6,9.42e-6,8.24e-6,1.304e-5,1.187e-5,7.02e-6,1.007e-5,7.54e-6,1.359e-5,7.77e-6,3.1847e-4,2.668e-4,7.84e-6,1.274e-5,1.079e-5,8.12e-6,3.344e-5,8.98e-6,1.005e-5,3.188e-5,9.75e-6,6.34e-6,4.72e-6,6.42e-6,5.029e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus,3.535e-5,0.00897181,9.3296e-4,0.00194011,9.541e-5,1.3102e-4,2.0572e-4,0,7.76e-5,2.2021e-4,0.00364222,0.00116403,0.00159819,0.00258593,2.3384e-4,1.184e-4,9.8646e-4,4.922e-4,3.012e-5,0.01456284,0.00124293,0.00131552,6.4815e-4,1.0587e-4,4.4381e-4,0.04185805,9.8054e-4,8.8458e-4,7.7432e-4,0.00166855,0.00597102,0.00132236,0.00442693,0.00323627,0.00639396,5.6375e-4,3.5939e-4,1.0794e-4,6.8801e-4,0.00192389,0.00101581,7.6307e-4,7.9979e-4,0.03621558,0.00368226,5.4e-4,4.3434e-4,0.00229832,0.00176597,4.8583e-4,0.00111295,0.00127629,2.6008e-4,0.00124727,6.5716e-4,0.00624589,9.6506e-4,0.00197783,8.5335e-4,0.00138767,3.7643e-4,0.00121572,0.00102592,0.00101897,4.9389e-4,6.0345e-4,4.9504e-4,0.0029126,4.7177e-4,0.00132727,5.4267e-4,6.4964e-4,5.709e-4,2.0602e-4,0.0039658,4.8043e-4,9.7238e-4,6.9369e-4,4.5502e-4,0.00160699,0.00191408,5.4326e-4,5.7453e-4,3.7017e-4,0.0013812,4.0664e-4,6.946e-4,7.5759e-4,3.2351e-4,2.6855e-4,5.9804e-4,6.358e-4,8.2552e-4,5.4926e-4,0.00102776,6.7437e-4,3.7928e-4,0.00210183,6.8994e-4,4.3257e-4,8.3538e-4,5.5555e-4,4.1074e-4,0.00100613,8.6451e-4,5.1232e-4,6.7282e-4,7.3465e-4,6.2653e-4,0.00126842,0.00110763,0.00467543,0.00231117,6.0428e-4,4.2509e-4,0.0040907,0.00109122,0.00286204,3.5763e-4,7.4728e-4,4.4921e-4,4.8541e-4,0.00137963,2.6234e-4,3.6985e-4,0.01610389,0,0.00783282,0.00486351,0.00498887,0.00455701,7.3493e-4,0.00201615,0.0329374,0.00952048,0.00101361,0.00581311,0.00716016,0.02475315,0.00103761,0.00189523,0.00178057,0,9.2757e-4,0.0277026,0,0.00340961,4.7707e-4,0.27790436,3.5497e-4,0.00782356,0.00750796,0.00179379,0,0.00175101,4.6519e-4,0.00949117,0,0.0017543,4.983e-4,7.1648e-4,9.0341e-4,0.00581476,0.01028304,0,0.01510868,0.00254221,0.0037641,0.06418297,9.4104e-4,0,0.00736882,2.8369e-4,0.00556482,0.00295243,0.00297094,0.00109254,0,3.4027e-4,0,0,0.01989204,0.01173186,0,0,0,0.00279688,0.00173499,6.7132e-4,3.5794e-4,0.00226509,0.00245375,0.001052,0,0.02260945,0.00401154,0.0017406,0,0.00292789,9.7117e-4,0.00525417,0.00134131,0.00211882,0.00333938,0.00226625,0.00577888,4.7527e-4,4.6624e-4,0,0.00153088,4.7894e-4,2.3565e-4,0.00161352,0.00209792,0.03730963,0.04153894,0.01684191,0.00387926,0.01813106,0.00117073,4.6716e-4,1.6144e-4,1.2762e-4,0.00277921,5.9889e-4,0.01093409,0.00233897,0.00405504,0,0.02226307,0.00212299,0,9.4645e-4,0.04035162,0.00339623,3.9859e-4,0.00806726,0.00342282,0.00434264,0,0.00153981,0.00229889,0.00860814,0.00105058,6.3628e-4,0.0012475,0.00273942,0,0.00257235,3.5477e-4,0.16836546,1.2297e-4,0,0.01012852,0.01444852,0.00121922,0.00672179,0.00179965,0.02031856,0.00769604,0,4.7072e-4,0.00372918,8.6777e-4,0,6.2024e-4,0.00112437,0.01708657,5.2637e-4,6.0274e-4,0.00223212,0.03174197,0.02036101,0,0.00241398,0.00285307,0.03066648,0.00489691,0.00120195,0
Pasteurella,0,0,0,0,0,0,0,0,5.87e-6,0,0,0,0,0,0,0,0,2.466e-5,0,0,0,0,0,0,0,9.77e-6,0,2.412e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7997e-4,3.79e-6,2.844e-5,3.886e-5,5.152e-5,1.102e-5,2.216e-5,3.3887e-4,3.267e-5,3.77e-5,7.03e-6,1.755e-5,3.66e-5,9.07e-6,4.934e-5,7.57e-6,6.516e-5,1.208e-5,2.995e-5,5.3e-6,9.28e-6,3.678e-5,3.425e-5,8.93e-6,1.061e-5,1.166e-5,4.413e-5,1.096e-5,2.809e-5,4.345e-5,8.67e-6,7.18e-5,5.19e-6,7e-5,1.126e-5,1.986e-5,7.282e-5,9.8e-6,1.555e-5,1.612e-5,3.916e-5,6.597e-5,7.06e-6,1.082e-5,8.42e-6,4.93e-6,9.59e-6,7.28e-6,1.176e-5,7.75e-6,1.27e-5,3.444e-5,1.685e-5,7.597e-5,1.004e-5,7.47e-6,1.133e-5,1.123e-5,9e-6,2.2288e-4,5.68e-6,5.93e-6,1.047e-5,1.474e-5,8.34e-6,6.23e-6,5.33e-6,6.02e-6,2.31e-5,5.6e-6,0.00100151,8.8637e-4,8.58e-6,9.84e-6,1.5e-5,1.206e-5,1.151e-4,1.092e-5,1.105e-5,1.519e-5,1.098e-5,8.91e-6,4.19e-6,1.317e-5,1.5089e-4,0,5.4191e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0268e-4,0,1.7985e-4,0,0,0,0,0,0,0,0,0,0,0,0,0.00177027,0,3.0815e-4,0,0,0,0,0,3.0685e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1555e-4,0,0,0,0,0,6.5798e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4947e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5047e-4,0,0
Acinetobacter,0,0,0,6.6e-7,7.814e-5,1.299e-5,2.487e-5,0,6.085e-5,1.584e-5,1.156e-5,8.37e-6,8.58e-6,8.53e-6,0,0,6.721e-5,1.429e-5,9.52e-6,1.325e-5,0,0,2.469e-5,8.996e-5,6.46e-5,0,1.1351e-4,1.819e-5,0,2.378e-5,2.096e-5,0,4.866e-5,0,2.757e-5,0,0,0,0,0,8.96e-5,5.049e-5,2.772e-5,1.976e-5,8.313e-5,7.317e-5,3.564e-5,8.323e-5,7.459e-5,2.905e-5,6.535e-5,2.505e-5,2.123e-5,1.2679e-4,2.03e-5,7.238e-5,2.653e-5,7.346e-5,5.141e-5,9.05e-5,2.864e-5,2.909e-5,1.406e-4,1.0291e-4,2.46e-5,0.00276613,4.788e-5,7.224e-5,3.936e-5,6.263e-5,3.935e-5,3.192e-5,3.277e-5,1.88e-5,3.932e-5,5.152e-5,3.242e-5,8.94e-5,4.947e-5,2.545e-5,1.244e-5,4.265e-5,2.715e-5,2.001e-5,2.841e-5,3.462e-5,1.861e-5,4.351e-5,1.175e-5,2.858e-5,2.367e-5,1.166e-5,6.414e-5,3.032e-5,3.908e-5,3.563e-5,2.812e-5,4.31e-5,2.399e-5,3.014e-5,4.041e-5,4.606e-5,2.325e-5,1.511e-5,3.601e-5,1.907e-5,2.604e-5,3.068e-5,2.438e-5,2.463e-5,2.732e-5,5.041e-5,4.301e-5,3.169e-5,2.639e-5,1.994e-5,2.774e-5,8.92e-6,5.663e-5,4.708e-5,3.085e-5,2.711e-5,5.291e-5,2.951e-5,2.037e-5,3.507e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enhydrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,1.093e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.604e-5,2.51e-6,2.4e-6,7.51e-6,6.85e-6,4.68e-6,1.033e-5,8.56e-6,2.98e-6,4.62e-6,2.43e-6,2.95e-6,7.62e-6,2.73e-6,8.68e-6,2.11e-6,8.01e-6,5.4e-6,8.94e-6,3.63e-6,7.15e-6,1.254e-5,1.045e-5,2.71e-6,1.099e-5,6.13e-6,6.98e-6,4.37e-6,6.86e-6,5.14e-6,6.18e-6,3.29e-6,6.81e-6,3.89e-6,5.23e-6,3.64e-6,7.87e-6,5.51e-6,3.92e-6,1.93e-6,4.69e-6,3.02e-6,2.42e-6,3.08e-6,4.83e-6,3.96e-6,4.89e-6,2.26e-6,4.46e-6,2.89e-6,1.68e-6,5.43e-6,2.41e-6,4.53e-6,4.37e-6,2.7e-6,3.71e-6,3.79e-6,3.08e-6,2.43e-6,1.51e-6,2.47e-6,3.23e-6,4.71e-6,2.2e-6,2.6e-6,3.98e-6,2.67e-6,3.22e-6,4.05e-6,3.92e-6,2.31e-6,4.56e-6,2.92e-6,2.27e-6,3.76e-6,1.66e-6,2.36e-6,3.72e-6,3.92e-6,3.23e-6,3.34e-6,4.51e-6,3.66e-6,2.38e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azotobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88e-6,1.262e-5,1.379e-5,1.53e-5,3.031e-5,2.257e-5,1.706e-5,2.822e-5,2.171e-5,1.209e-5,1.243e-5,1.654e-5,2.099e-5,3.454e-5,1.241e-5,3.29e-5,8.02e-6,2.485e-5,1.449e-5,3.005e-5,7.73e-6,1.074e-5,3.897e-5,2.652e-5,9.51e-6,1.616e-5,9.11e-6,2.558e-5,1.067e-5,1.573e-5,1.359e-5,7.12e-6,1.201e-5,3.3e-6,1.084e-5,1.871e-5,2.634e-5,1.548e-5,2.147e-5,1.323e-5,1.06e-5,1.377e-5,1.42e-5,7.32e-6,7.24e-6,1.576e-5,1.296e-5,1.948e-5,7.53e-6,2.132e-5,2.225e-5,8.74e-6,1.71e-5,2.941e-5,1.548e-5,1.951e-5,9.55e-6,1.762e-5,1.454e-5,2.244e-5,7.39e-6,2.286e-5,9.4e-6,6.26e-6,1.331e-5,2.824e-5,4.66e-6,1.043e-5,8.21e-6,6.01e-6,1.922e-5,3.75e-6,5.64e-6,2.262e-5,1.284e-5,1.161e-5,1.04e-5,4.42e-6,1.319e-5,8.53e-6,1.075e-5,8.35e-6,2.187e-5,4.52e-6,7.08e-6,1.263e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cellvibrio,0,0,0,0,0,0,0,1.24e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2e-6,3.12e-6,2.96e-6,1.422e-5,1.205e-5,7.24e-6,1.109e-5,7.1e-6,4.98e-6,5.4e-6,5.8e-6,6.69e-6,1.099e-5,6.67e-6,1.444e-5,3.86e-6,1.427e-5,6.67e-6,1.47e-5,3.72e-6,4.11e-6,1.83e-5,1.558e-5,3.35e-6,5.63e-6,6.02e-6,1.136e-5,3.78e-6,8.75e-6,4.41e-6,3.44e-6,4.98e-6,2.57e-6,7.92e-6,1.008e-5,7.31e-6,1.115e-5,9.24e-6,4.57e-6,2.14e-6,7.69e-6,7.97e-6,4.11e-6,2.96e-6,6.78e-6,6.1e-6,1.038e-5,2.58e-6,7.75e-6,5.59e-6,3.27e-6,6.95e-6,7.55e-6,6.93e-6,6.33e-6,5.47e-6,7.64e-6,5.01e-6,8.36e-6,4.9100000000000004e-06,3.53e-6,3.61e-6,2.97e-6,5.21e-6,7.56e-6,2.73e-6,4.86e-6,3.61e-6,4.85e-6,6.33e-6,3.64e-6,3.2e-6,6.98e-6,4.49e-6,4.07e-6,3.66e-6,9e-7,4.97e-6,3.86e-6,6.5e-6,5.09e-6,8.02e-6,2.55e-6,3.07e-6,4.28e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
